,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size,best_described_by
0,37,CL:38128,"['ZNF706', 'LIMD2']",0.02040816326530612,0.07626146889811324,33,2,98,"mostly uncharacterized, incl. Glycoprotein hormone beta chain homologues., and Extrinsic component of endosome membrane"
1,37,CL:38129,"['ZNF706', 'LIMD2']",0.02040816326530612,0.03373708914167098,21,2,98,"mostly uncharacterized, incl. Extrinsic component of endosome membrane, and PWWP domain"
2,37,CL:38130,"['ZNF706', 'LIMD2']",0.02040816326530612,0.013462940979234363,13,2,98,"mixed, incl. Extrinsic component of endosome membrane, and SPATS2-like"
3,37,CL:38131,"['ZNF706', 'LIMD2']",0.02040816326530612,0.003826574929299845,7,2,98,"mixed, incl. SPATS2-like, and Peroxiredoxin-like 2A/B/C"
4,37,CL:34108,"['BZW2', 'MAL']",0.02040816326530612,0.990371917999619,465,2,98,"mixed, incl. Keratinization, and Snake toxin-like superfamily"
5,37,CL:34109,"['BZW2', 'MAL']",0.02040816326530612,0.9856557669870374,434,2,98,"mixed, incl. Keratinization, and Snake toxin-like superfamily"
6,37,CL:22092,"['MYL12A', 'TRPV2', 'MYO1F']",0.030612244897959183,0.9997900564800057,885,3,98,"mixed, incl. Ion channel, and Synapse"
7,37,CL:22093,"['MYL12A', 'TRPV2', 'MYO1F']",0.030612244897959183,0.9997356932972391,868,3,98,"mixed, incl. Ion channel, and Synapse"
8,37,CL:22094,"['MYL12A', 'TRPV2', 'MYO1F']",0.030612244897959183,0.9485106600512047,439,3,98,"mixed, incl. Cation channel activity, and Contractile fiber"
9,37,CL:22563,"['MYL12A', 'MYO1F']",0.02040816326530612,0.7325285560091999,185,2,98,"mixed, incl. Contractile fiber, and Microfilament motor activity"
10,37,CL:22095,"['MYL12A', 'TRPV2', 'MYO1F']",0.030612244897959183,0.9362684161410244,419,3,98,"Cation channel activity, and Contractile fiber"
11,37,CL:19448,"['NUCB1', 'FURIN']",0.02040816326530612,0.9404791406523806,319,2,98,"Extracellular matrix organization, and Extracellular matrix"
12,37,CL:18720,"['NUCB1', 'S100A11', 'FURIN', 'GPSM3']",0.04081632653061224,0.988583954607316,683,4,98,"mixed, incl. Extracellular matrix, and Serine-type endopeptidase activity"
13,37,CL:19449,"['NUCB1', 'FURIN']",0.02040816326530612,0.9329656561331604,309,2,98,"Extracellular matrix organization, and Biomineralization"
14,37,CL:19450,"['NUCB1', 'FURIN']",0.02040816326530612,0.9218689682770069,296,2,98,"Extracellular matrix organization, and Biomineralization"
15,37,CL:18721,"['S100A11', 'GPSM3']",0.02040816326530612,0.9654976889409649,364,2,98,"mixed, incl. Complement and coagulation cascades, and Serine-type endopeptidase activity"
16,37,CL:19234,"['S100A11', 'GPSM3']",0.02040816326530612,0.11948977119300941,43,2,98,"mixed, incl. S100/CaBP-9k-type, calcium binding, subdomain, and Formyl peptide receptors bind formyl peptides and many other ligands"
17,37,CL:19114,"['S100A11', 'GPSM3']",0.02040816326530612,0.4204016117276102,103,2,98,"mixed, incl. S100/CaBP-9k-type, calcium binding, subdomain, and Cystatin superfamily"
18,37,CL:18722,"['S100A11', 'GPSM3']",0.02040816326530612,0.9245720703732531,299,2,98,"mixed, incl. Complement and coagulation cascades, and Protein-lipid complex"
