,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,leiden
ENSG00000250151_Rest,ARPC4-TTLL3,Rest,ENSG00000250151,42,1523.0,43
ENSG00000112237_Rest,CCNC,Rest,ENSG00000112237,459,3530.0,43
ENSG00000171316_Rest,CHD7,Rest,ENSG00000171316,114,697.0,43
ENSG00000122694_Rest,GLIPR2,Rest,ENSG00000122694,100,1375.0,43
ENSG00000184634_Rest,MED12,Rest,ENSG00000184634,116,229.0,43
ENSG00000156603_Rest,MED19,Rest,ENSG00000156603,6,877.0,43
ENSG00000106484_Rest,MEST,Rest,ENSG00000106484,571,2132.0,43
ENSG00000130150_Rest,MOSPD2,Rest,ENSG00000130150,653,1678.0,43
ENSG00000213281_Rest,NRAS,Rest,ENSG00000213281,105,1751.0,43
ENSG00000124587_Rest,PEX6,Rest,ENSG00000124587,183,523.0,43
ENSG00000000457_Rest,SCYL3,Rest,ENSG00000000457,159,268.0,43
ENSG00000000457_Stim8hr,SCYL3,Stim8hr,ENSG00000000457,501,304.0,43
ENSG00000119231_Rest,SENP5,Rest,ENSG00000119231,184,2096.0,43
ENSG00000176476_Rest,SGF29,Rest,ENSG00000176476,250,1087.0,43
ENSG00000163798_Rest,SLC4A1AP,Rest,ENSG00000163798,113,952.0,43
ENSG00000163798_Stim8hr,SLC4A1AP,Stim8hr,ENSG00000163798,144,852.0,43
ENSG00000124222_Rest,STX16,Rest,ENSG00000124222,13,852.0,43
ENSG00000119760_Rest,SUPT7L,Rest,ENSG00000119760,492,2303.0,43
ENSG00000102710_Rest,SUPT20H,Rest,ENSG00000102710,459,1104.0,43
ENSG00000152382_Rest,TADA1,Rest,ENSG00000152382,79,545.0,43
ENSG00000173011_Rest,TADA2B,Rest,ENSG00000173011,555,1534.0,43
ENSG00000171148_Rest,TADA3,Rest,ENSG00000171148,252,306.0,43
ENSG00000135801_Stim8hr,TAF5L,Stim8hr,ENSG00000135801,112,174.0,43
ENSG00000135801_Rest,TAF5L,Rest,ENSG00000135801,365,148.0,43
ENSG00000162227_Rest,TAF6L,Rest,ENSG00000162227,53,871.0,43
ENSG00000064995_Rest,TAF11,Rest,ENSG00000064995,264,1388.0,43
ENSG00000197780_Rest,TAF13,Rest,ENSG00000197780,417,671.0,43
ENSG00000180543_Rest,TSPYL5,Rest,ENSG00000180543,575,298.0,43
ENSG00000185651_Rest,UBE2L3,Rest,ENSG00000185651,203,2136.0,43
ENSG00000124422_Rest,USP22,Rest,ENSG00000124422,217,1653.0,43
ENSG00000179588_Rest,ZFPM1,Rest,ENSG00000179588,203,239.0,43
