ensembl_id,feature_name
ENSG00000228172,RP1-317E23.3
ENSG00000236528,RP1-125I3.2
ENSG00000182749,PAQR7
ENSG00000117632,STMN1
ENSG00000158014,SLC30A2
ENSG00000175087,PDIK1L
ENSG00000236782,ZNF593OS
ENSG00000142669,SH3BGRL3
ENSG00000169442,CD52
ENSG00000176092,CRYBG2
ENSG00000176083,ZNF683
ENSG00000131914,LIN28A
ENSG00000225891,DHDDS-AS1
ENSG00000198830,HMGN2
ENSG00000117713,ARID1A
ENSG00000175707,KDF1
ENSG00000142733,MAP3K6
ENSG00000241169,RP4-752I6.1
ENSG00000126705,AHDC1
ENSG00000233975,LINC02574
ENSG00000126709,IFI6
ENSG00000009780,FAM76A
ENSG00000269971,RP3-426I6.5
ENSG00000270031,RP3-426I6.6
ENSG00000130775,THEMIS2
ENSG00000227050,RP11-460I13.2
ENSG00000158161,EYA3
ENSG00000169403,PTAFR
ENSG00000270605,RP5-1092A3.4
ENSG00000204138,PHACTR4
ENSG00000242125,SNHG3
ENSG00000188060,RAB42
ENSG00000229388,LINC01715
ENSG00000162419,GMEB1
ENSG00000159023,EPB41
ENSG00000253304,TMEM200B
ENSG00000225750,RP11-242O24.3
ENSG00000060656,PTPRU
ENSG00000121769,FABP3
ENSG00000084636,COL16A1
ENSG00000121753,ADGRB2
ENSG00000203620,RP11-84A19.2
ENSG00000269967,RP11-84A19.4
ENSG00000184007,PTP4A2
ENSG00000228634,RP4-534N18.2
ENSG00000203325,RP11-277A4.4
ENSG00000025800,KPNA6
ENSG00000222046,DCDC2B
ENSG00000183615,FAM167B
ENSG00000175130,MARCKSL1
ENSG00000273274,ZBTB8B
ENSG00000160062,ZBTB8A
ENSG00000162520,SYNC
ENSG00000162522,KIAA1522
ENSG00000116497,S100PBP
ENSG00000160097,FNDC5
ENSG00000287691,RP5-1174N9.3
ENSG00000142920,AZIN2
ENSG00000284721,RP11-131M11.4
ENSG00000121904,CSMD2
ENSG00000230163,RP5-997D16.2
ENSG00000284640,RP11-181E22.4
ENSG00000142687,KIAA0319L
ENSG00000239636,TFAP2E-AS1
ENSG00000092853,CLSPN
ENSG00000232335,RP11-435D7.3
ENSG00000134698,AGO4
ENSG00000092847,AGO1
ENSG00000286899,RP4-789D17.6
ENSG00000126070,AGO3
ENSG00000092850,TEKT2
ENSG00000214193,SH3D21
ENSG00000142694,EVA1B
ENSG00000286379,RP11-268J15.6
ENSG00000116885,OSCP1
ENSG00000119535,CSF3R
ENSG00000116922,C1orf109
ENSG00000230955,RP11-109P14.10
ENSG00000204084,INPP5B
ENSG00000228436,RP5-864K19.4
ENSG00000158315,RHBDL2
ENSG00000127603,MACF1
ENSG00000287422,RP11-416A14.2
ENSG00000116981,NT5C1A
ENSG00000285905,BMP8B-AS1
ENSG00000261798,RP1-118J21.25
ENSG00000284719,RP1-118J21.27
ENSG00000284677,RP1-228H13.6
ENSG00000260920,RP1-228H13.5
ENSG00000238287,RP11-656D10.3
ENSG00000238186,RP11-656D10.6
ENSG00000272145,NFYC-AS1
ENSG00000117013,KCNQ4
ENSG00000179862,CITED4
ENSG00000171793,CTPS1
ENSG00000287400,RP11-399E6.6
ENSG00000197273,GUCA2A
ENSG00000066185,ZMYND12
ENSG00000186409,CCDC30
ENSG00000164007,CLDN19
ENSG00000274386,TMEM269
ENSG00000228192,RP11-342M1.3
ENSG00000227533,SLC2A1-AS1
ENSG00000186973,FAM183A
ENSG00000287113,RP1-92O14.7
ENSG00000234694,RP1-92O14.3
ENSG00000198198,SZT2
ENSG00000142949,PTPRF
ENSG00000236200,KDM4A-AS1
ENSG00000229444,ST3GAL3-AS1
ENSG00000159214,CCDC24
ENSG00000230615,RP5-1198O20.4
ENSG00000171872,KLF17
ENSG00000117425,PTCH2
ENSG00000162415,ZSWIM5
ENSG00000132763,MMACHC
ENSG00000159588,CCDC17
ENSG00000226957,RP4-533D7.4
ENSG00000171357,LURAP1
ENSG00000197587,DMBX1
ENSG00000079277,MKNK1
ENSG00000186118,TEX38
ENSG00000142973,CYP4B1
ENSG00000162366,PDZK1IP1
ENSG00000162367,TAL1
ENSG00000237424,FOXD2-AS1
ENSG00000186564,FOXD2
ENSG00000117834,SLC5A9
ENSG00000185104,FAF1
ENSG00000203356,LINC01562
ENSG00000236434,RP11-296A18.6
ENSG00000085831,TTC39A
ENSG00000085832,EPS15
ENSG00000238140,RP11-253A20.1
ENSG00000272175,RP4-657D16.6
ENSG00000169213,RAB3B
ENSG00000287078,RP11-155O18.7
ENSG00000134744,TUT4
ENSG00000162378,ZYG11B
ENSG00000203995,ZYG11A
ENSG00000162383,SLC1A7
ENSG00000226754,RP5-1024G6.5
ENSG00000174332,GLIS1
ENSG00000116205,TCEANC2
ENSG00000215883,CYB5RL
ENSG00000157216,SSBP3
ENSG00000198711,SSBP3-AS1
ENSG00000225632,RP5-997D24.3
ENSG00000287582,RP5-866L20.4
ENSG00000162390,ACOT11
ENSG00000162391,FAM151A
ENSG00000237453,RP11-67L3.2
ENSG00000287724,RP11-67L3.7
ENSG00000162402,USP24
ENSG00000162409,PRKAA2
ENSG00000157131,C8A
ENSG00000021852,C8B
ENSG00000177606,JUN
ENSG00000234807,LINC01135
ENSG00000231740,RP11-63G10.2
ENSG00000237352,LINC01358
ENSG00000224609,FGGY-DT
ENSG00000270457,RP11-467C18.1
ENSG00000162599,NFIA
ENSG00000162604,TM2D1
ENSG00000271200,PATJ-DT
ENSG00000132849,PATJ
ENSG00000240563,L1TD1
ENSG00000132854,KANK4
ENSG00000116641,DOCK7
ENSG00000203605,RP11-335E6.2
ENSG00000228734,RP11-335E6.3
ENSG00000142856,ITGB3BP
ENSG00000286429,RP11-565D17.2
ENSG00000116652,DLEU2L
ENSG00000185483,ROR1
ENSG00000223949,ROR1-AS1
ENSG00000158966,CACHD1
ENSG00000162434,JAK1
ENSG00000226891,LINC01359
ENSG00000162433,AK4
ENSG00000116678,LEPR
ENSG00000237852,RP4-630A11.3
ENSG00000285079,RP11-433N2.1
ENSG00000198160,MIER1
ENSG00000275678,RP4-547N15.3
ENSG00000162594,IL23R
ENSG00000116717,GADD45A
ENSG00000285407,RP11-520E6.1
ENSG00000223883,LINC01707
ENSG00000033122,LRRC7
ENSG00000066557,LRRC40
ENSG00000228988,RP4-677H15.4
ENSG00000226208,RP11-99H8.1
ENSG00000050628,PTGER3
ENSG00000269933,RP3-333A15.2
ENSG00000235079,ZRANB2-AS1
ENSG00000132485,ZRANB2
ENSG00000229956,ZRANB2-AS2
ENSG00000286863,RP4-660H19.2
ENSG00000162620,LRRIQ3
ENSG00000254685,FPGT
ENSG00000237324,RP11-439H8.4
ENSG00000233894,RP4-650F12.2
ENSG00000178965,ERICH3
ENSG00000272864,RP11-17E13.2
ENSG00000057468,MSH4
ENSG00000154027,AK5
ENSG00000233099,RP11-375A5.1
ENSG00000287647,RP11-40C18.2
ENSG00000077254,USP33
ENSG00000180488,MIGA1
ENSG00000235927,NEXN-AS1
ENSG00000162614,NEXN
ENSG00000162616,DNAJB4
ENSG00000273338,RP11-386I14.4
ENSG00000285928,RP11-386I14.5
ENSG00000137959,IFI44L
ENSG00000137941,TTLL7
ENSG00000271576,PRKACB-DT
ENSG00000142875,PRKACB
ENSG00000122432,SPATA1
ENSG00000117155,SSX2IP
ENSG00000223653,RP11-131L23.1
ENSG00000285210,LINC02795
ENSG00000236915,CLCA4-AS1_ENSG00000236915
ENSG00000261737,CLCA4-AS1_ENSG00000261737
ENSG00000267734,RP4-604K5.3
ENSG00000284240,LINC02801
ENSG00000237505,PKN2-AS1
ENSG00000065243,PKN2
ENSG00000117226,GBP3
ENSG00000117228,GBP1
ENSG00000286802,RP5-838N20.7
ENSG00000154451,GBP5
ENSG00000183347,GBP6
ENSG00000286548,RP4-644F6.4
ENSG00000230735,RP11-413E1.4
ENSG00000287372,RP11-259G3.1
ENSG00000272094,RP4-665J23.4
ENSG00000122482,ZNF644
ENSG00000069702,TGFBR3
ENSG00000189195,BTBD8
ENSG00000273487,RP4-621B10.8
ENSG00000174842,GLMN
ENSG00000122484,RPAP2
ENSG00000067208,EVI5
ENSG00000122483,CCDC18
ENSG00000223745,CCDC18-AS1
ENSG00000198691,ABCA4
ENSG00000286692,RP11-366L18.2
ENSG00000235501,CNN3-DT
ENSG00000226026,RP11-57H12.3
ENSG00000117569,PTBP2
ENSG00000232878,DPYD-AS1
ENSG00000232542,DPYD-IT1
ENSG00000232825,RP5-896L10.1
ENSG00000156869,FRRS1
ENSG00000117620,SLC35A3
ENSG00000122477,LRRC39
ENSG00000137992,DBT
ENSG00000228086,RP5-837M10.4
ENSG00000181656,GPR88
ENSG00000273204,RP4-549L20.3
ENSG00000162695,SLC30A7
ENSG00000170989,S1PR1
ENSG00000231671,LINC01307
ENSG00000185946,RNPC3
ENSG00000240038,AMY2B
ENSG00000237480,RP5-947P14.1
ENSG00000162631,NTNG1
ENSG00000134215,VAV3
ENSG00000260879,RP11-483I13.5
ENSG00000134186,PRPF38B
ENSG00000121957,GPSM2
ENSG00000121940,CLCC1
ENSG00000085433,WDR47
ENSG00000197780,TAF13
ENSG00000273382,TMEM167B-DT
ENSG00000179902,C1orf194
ENSG00000143126,CELSR2
ENSG00000174151,CYB561D1
ENSG00000225113,RP5-1160K1.3
ENSG00000134183,GNAT2
ENSG00000213366,GSTM2
ENSG00000260246,AC000032.2
ENSG00000134201,GSTM5
ENSG00000258634,RP4-773N10.4
ENSG00000156150,ALX3
ENSG00000186150,UBL4B
ENSG00000116396,KCNC4
ENSG00000227963,RBM15-AS1
ENSG00000224699,LAMTOR5-AS1
ENSG00000168679,SLC16A4
ENSG00000273373,RP5-1074L1.4
ENSG00000259834,RP11-284N8.3
ENSG00000261654,RP11-96K19.4
ENSG00000121931,LRIF1
ENSG00000273010,RP11-96K19.5
ENSG00000134255,CEPT1
ENSG00000272982,RP5-1180E21.4
ENSG00000273221,RP5-1180E21.5
ENSG00000162777,DENND2D
ENSG00000064886,CHI3L2
ENSG00000085465,OVGP1
ENSG00000143110,C1orf162
ENSG00000282608,ADORA3
ENSG00000197852,INKA2
ENSG00000227811,INKA2-AS1
ENSG00000284830,RP4-773A18.8
ENSG00000171385,KCND3
ENSG00000231246,LINC02884
ENSG00000134245,WNT2B
ENSG00000273483,RP4-671G15.2
ENSG00000116489,CAPZA1
ENSG00000225075,RP11-426L16.3
ENSG00000155366,RHOC
ENSG00000261595,PPM1J-DT
ENSG00000215866,LINC01356
ENSG00000226419,SLC16A1-AS1
ENSG00000287807,RP11-31F15.4
ENSG00000198799,LRIG2
ENSG00000116793,PHTF1
ENSG00000134242,PTPN22
ENSG00000226167,AP4B1-AS1
ENSG00000188761,BCL2L15
ENSG00000118655,DCLRE1B
ENSG00000235527,HIPK1-AS1
ENSG00000163349,HIPK1
ENSG00000197323,TRIM33
ENSG00000175984,DENND2C
ENSG00000163393,SLC22A15
ENSG00000173212,MAB21L3
ENSG00000203865,ATP1A1-AS1
ENSG00000116824,CD2
ENSG00000272715,RP4-753F5.1
ENSG00000134253,TRIM45
ENSG00000224238,WARS2-IT1
ENSG00000231365,WARS2-AS1
ENSG00000227712,RP11-418J17.3
ENSG00000232650,LINC01780
ENSG00000143067,ZNF697
ENSG00000134193,REG4
ENSG00000265808,SEC22B
ENSG00000286106,NOTCH2NLR
ENSG00000273136,NBPF26
ENSG00000287979,CH17-3B23.3
ENSG00000233029,RP11-439A17.9
ENSG00000188610,FAM72B
ENSG00000171943,SRGAP2C
ENSG00000228826,RP11-344P13.4
ENSG00000232721,RP11-403I13.5
ENSG00000273213,H3-2
ENSG00000237343,RP11-763B22.4
ENSG00000266338,NBPF15
ENSG00000196369,SRGAP2B
ENSG00000215784,FAM72D
ENSG00000276216,CH17-373J23.1
ENSG00000236140,RP11-89F3.2
ENSG00000287374,CH17-262O2.5
ENSG00000117281,CD160
ENSG00000143127,ITGA10
ENSG00000234222,LIX1L-AS1
ENSG00000265972,TXNIP
ENSG00000287190,CH17-353B19.2
ENSG00000233396,LINC01719
ENSG00000287978,CH17-408M7.2
ENSG00000268043,NBPF12
ENSG00000131791,PRKAB2
ENSG00000237188,RP11-337C18.10
ENSG00000131781,FMO5
ENSG00000278811,LINC00624
ENSG00000116128,BCL9
ENSG00000162836,ACP6
ENSG00000234283,LINC01731
ENSG00000274020,LINC01138
ENSG00000270629,NBPF14
ENSG00000178104,PDE4DIP
ENSG00000269713,NBPF9
ENSG00000272755,RP11-326G21.1
ENSG00000286219,NOTCH2NLC
ENSG00000271383,NBPF19
ENSG00000203814,H2BC18
ENSG00000270882,H4C14
ENSG00000203812,H2AC18
ENSG00000272196,H2AC19
ENSG00000270276,H4C15
ENSG00000184260,H2AC20
ENSG00000184270,H2AC21
ENSG00000264522,OTUD7B
ENSG00000285184,CH17-55D9.1
ENSG00000023902,PLEKHO1
ENSG00000143401,ANP32E
ENSG00000276110,RP4-790G17.7
ENSG00000118298,CA14
ENSG00000159208,CIART
ENSG00000163125,RPRD2
ENSG00000228126,FALEC
ENSG00000237781,ADAMTSL4-AS2
ENSG00000143384,MCL1
ENSG00000143387,CTSK
ENSG00000143437,ARNT
ENSG00000231073,RP11-316M1.3
ENSG00000163141,BNIPL
ENSG00000143443,C1orf56
ENSG00000197622,CDC42SE1
ENSG00000143458,GABPB2
ENSG00000261168,RP11-68I18.10
ENSG00000163155,LYSMD1
ENSG00000163157,TMOD4
ENSG00000143398,PIP5K1A
ENSG00000232671,ZNF687-AS1
ENSG00000143373,ZNF687
ENSG00000273481,RP11-126K1.9
ENSG00000143442,POGZ
ENSG00000143367,TUFT1
ENSG00000143376,SNX27
ENSG00000227045,RP11-98D18.1
ENSG00000269621,RP11-98D18.15
ENSG00000203288,TDRKH-AS1
ENSG00000234614,C2CD4D-AS1
ENSG00000285651,RP11-139D23.7
ENSG00000229021,AL591893.1
ENSG00000163191,S100A11
ENSG00000159450,TCHH
ENSG00000197915,HRNR
ENSG00000143520,FLG2
ENSG00000186207,LCE5A
ENSG00000224308,LINC01527
ENSG00000163220,S100A9
ENSG00000163221,S100A12
ENSG00000143546,S100A8
ENSG00000197956,S100A6
ENSG00000196154,S100A4
ENSG00000196754,S100A2
ENSG00000189171,S100A13
ENSG00000272030,RP1-178F15.4
ENSG00000143624,INTS3
ENSG00000143614,GATAD2B
ENSG00000143595,AQP10
ENSG00000143515,ATP8B2
ENSG00000169291,SHE
ENSG00000163239,TDRD10
ENSG00000287064,RP11-274N19.4
ENSG00000143603,KCNN3
ENSG00000173207,CKS1B
ENSG00000163352,LENEP
ENSG00000163357,DCST1
ENSG00000232093,DCST1-AS1
ENSG00000169242,EFNA1
ENSG00000185499,MUC1
ENSG00000143630,HCN3
ENSG00000225855,RUSC1-AS1
ENSG00000116539,ASH1L
ENSG00000143622,RIT1
ENSG00000132680,KHDC4
ENSG00000285677,RP11-336K24.14
ENSG00000254726,MEX3A
ENSG00000160789,LMNA
ENSG00000198952,SMG5
ENSG00000163472,TMEM79
ENSG00000237390,RP11-139I14.2
ENSG00000260460,RP11-284F21.8
ENSG00000132688,NES
ENSG00000237588,RP11-66D17.3
ENSG00000143320,CRABP2
ENSG00000027869,SH2D2A
ENSG00000198400,NTRK1
ENSG00000117036,ETV3
ENSG00000163518,FCRL4
ENSG00000160856,FCRL3
ENSG00000227217,RP11-367J7.3
ENSG00000158473,CD1D
ENSG00000176320,RP11-404O13.5
ENSG00000158488,CD1E
ENSG00000173285,OR10K1
ENSG00000197403,OR6N1
ENSG00000163563,MNDA
ENSG00000163564,PYHIN1
ENSG00000243284,VSIG8
ENSG00000213085,CFAP45
ENSG00000158710,TAGLN2
ENSG00000224259,LINC01133
ENSG00000143315,PIGM
ENSG00000162728,KCNJ9
ENSG00000018625,ATP1A2
ENSG00000143318,CASQ1
ENSG00000227741,RP11-536C5.7
ENSG00000171786,NHLH1
ENSG00000162738,VANGL2
ENSG00000179914,ITLN1
ENSG00000198358,RP11-544M22.1
ENSG00000143217,NECTIN4
ENSG00000158796,DEDD
ENSG00000224985,RP11-297K8.2
ENSG00000158859,ADAMTS4
ENSG00000158869,FCER1G
ENSG00000143257,NR1I3
ENSG00000158887,MPZ
ENSG00000283696,RP11-122G18.12
ENSG00000288093,RP11-122G18.13
ENSG00000283360,RP11-122G18.10
ENSG00000283317,RP11-122G18.11
ENSG00000143226,FCGR2A
ENSG00000162747,FCGR3B
ENSG00000072694,FCGR2B
ENSG00000198574,SH2D1B
ENSG00000152332,UHMK1
ENSG00000259788,RP11-359K18.3
ENSG00000272574,RP11-359K18.4
ENSG00000162733,DDR2
ENSG00000185860,CCDC190
ENSG00000143248,RGS5_ENSG00000143248
ENSG00000232892,RGS5-AS1
ENSG00000185630,PBX1
ENSG00000233693,PBX1-AS1
ENSG00000237463,LRRC52-AS1
ENSG00000236206,RP11-306I1.2
ENSG00000273365,RP11-466F5.10
ENSG00000224358,TMCO1-AS1
ENSG00000236364,RP11-525G13.2
ENSG00000234142,LINC01675
ENSG00000272205,POU2F1-DT
ENSG00000143190,POU2F1
ENSG00000272033,RP11-52A20.2
ENSG00000287218,RP11-104L21.4
ENSG00000233411,RP11-104L21.2
ENSG00000273160,RP11-104L21.3
ENSG00000143199,ADCY10
ENSG00000232194,RP1-313L4.3
ENSG00000143147,GPR161
ENSG00000213064,SFT2D2
ENSG00000143178,TBX19
ENSG00000228697,RP5-968D22.3
ENSG00000143185,XCL2
ENSG00000143184,XCL1
ENSG00000287831,RP11-375F2.4
ENSG00000203601,LINC00970
ENSG00000213062,RP1-206D15.6
ENSG00000188404,SELL
ENSG00000000457,SCYL3
ENSG00000203740,METTL11B
ENSG00000271811,RP1-79C4.4
ENSG00000231424,RP1-45C12.1
ENSG00000010932,FMO1
ENSG00000287336,RP5-1116C7.2
ENSG00000120337,TNFSF18
ENSG00000203739,PRDX6-AS1
ENSG00000120334,CENPL
ENSG00000234741,GAS5
ENSG00000270084,GAS5-AS1
ENSG00000185278,ZBTB37
ENSG00000135870,RC3H1
ENSG00000236535,RC3H1-IT1
ENSG00000227373,RABGAP1L-DT
ENSG00000223525,RABGAP1L-IT1
ENSG00000287697,RP1-102G20.8
ENSG00000235628,TNR-IT1
ENSG00000227740,LINC02803
ENSG00000116183,PAPPA2
ENSG00000224687,RASAL2-AS1
ENSG00000075391,RASAL2
ENSG00000116194,ANGPTL1
ENSG00000143322,ABL2
ENSG00000162779,AXDND1
ENSG00000143340,FAM163A
ENSG00000169905,TOR1AIP2
ENSG00000272906,RP11-533E19.7
ENSG00000260360,RP11-533E19.5
ENSG00000143324,XPR1
ENSG00000135835,KIAA1614
ENSG00000232586,KIAA1614-AS1
ENSG00000162783,IER5
ENSG00000143333,RGS16
ENSG00000058085,LAMC2
ENSG00000232860,SMG7-AS1
ENSG00000116698,SMG7
ENSG00000143344,RGL1
ENSG00000198756,COLGALT2
ENSG00000230470,GS1-115G20.1
ENSG00000285847,RP4-768P8.2
ENSG00000116406,EDEM3
ENSG00000121481,RNF2
ENSG00000116668,SWT1
ENSG00000116679,IVNS1ABP
ENSG00000273004,GS1-279B7.2
ENSG00000228309,LINC01350
ENSG00000261729,GS1-204I12.4
ENSG00000229739,PDC-AS1
ENSG00000273198,GS1-304P7.3
ENSG00000150681,RGS18
ENSG00000285280,RP11-139E24.1
ENSG00000090104,RGS1
ENSG00000116741,RGS2
ENSG00000227240,RP11-563D10.1
ENSG00000285718,RP11-489C13.2
ENSG00000287364,RP11-379L12.1
ENSG00000134389,CFHR5
ENSG00000066279,ASPM
ENSG00000177888,ZBTB41
ENSG00000134376,CRB1
ENSG00000224901,RP11-448G4.4
ENSG00000203724,C1orf53
ENSG00000151414,NEK7
ENSG00000287989,RP11-404H1.1
ENSG00000081237,PTPRC
ENSG00000229989,MIR181A1HG
ENSG00000225172,RP11-16L9.2
ENSG00000286541,RP11-16L9.5
ENSG00000116833,NR5A2
ENSG00000203721,LINC00862
ENSG00000162702,ZNF281
ENSG00000282849,RP11-121P12.1
ENSG00000163362,INAVA
ENSG00000229191,RP11-168O16.1
ENSG00000234132,RP11-168O16.2
ENSG00000232237,ASCL5
ENSG00000231871,IPO9-AS1
ENSG00000235121,RP11-90L20.2
ENSG00000234678,ELF3-AS1
ENSG00000170075,GPR37L1
ENSG00000133067,LGR6
ENSG00000077157,PPP1R12B
ENSG00000226862,RP11-569A11.1
ENSG00000117139,KDM5B
ENSG00000260021,RP11-480I12.10
ENSG00000143847,PPFIA4
ENSG00000133063,CHIT1
ENSG00000231507,LINC01353
ENSG00000159388,BTG2
ENSG00000188783,PRELP
ENSG00000058668,ATP2B4
ENSG00000122188,LAX1
ENSG00000058673,ZC3H11A
ENSG00000257315,ZBED6
ENSG00000176754,LINC00303
ENSG00000286572,RP11-74C13.6
ENSG00000280924,LINC00628
ENSG00000198625,MDM4
ENSG00000240219,RP11-430C7.5
ENSG00000287197,RP11-80N9.1
ENSG00000184144,CNTN2
ENSG00000174529,TMEM81
ENSG00000117222,RBBP5
ENSG00000133059,DSTYK
ENSG00000162873,KLHDC8A
ENSG00000226235,LEMD1-AS1
ENSG00000186007,LEMD1
ENSG00000281406,BLACAT1
ENSG00000174514,MFSD4A
ENSG00000158711,ELK4
ENSG00000158715,SLC45A3
ENSG00000117280,RAB29
ENSG00000162877,PM20D1
ENSG00000263961,RHEX
ENSG00000287432,CH17-84K15.4
ENSG00000196550,FAM72A
ENSG00000266028,SRGAP2
ENSG00000237605,DYRK3-AS1
ENSG00000136634,IL10
ENSG00000142224,IL19
ENSG00000162892,IL24
ENSG00000180667,YOD1
ENSG00000237074,RP11-6J21.2
ENSG00000196352,CD55
ENSG00000117335,CD46
ENSG00000203709,MIR29B2CHG
ENSG00000174059,CD34
ENSG00000076356,PLXNA2
ENSG00000196878,LAMB3
ENSG00000227591,HSD11B1-AS1
ENSG00000123689,G0S2
ENSG00000117594,HSD11B1
ENSG00000117595,IRF6
ENSG00000203706,SERTAD4-AS1
ENSG00000082497,SERTAD4
ENSG00000287354,RP5-879K22.2
ENSG00000287033,RP11-318L16.8
ENSG00000153363,LINC00467
ENSG00000231057,RP11-122M14.1
ENSG00000226251,LINC02608
ENSG00000230063,RP11-384C4.6
ENSG00000234915,RP11-384C4.7
